name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Ledian,166,166 Ledian.jpg,Bug,Flying,,55,35,50,55,110,85,1.4,35.6,Ledyba,,,,,,,,
Spinarak,167,167 Spinarak.jpg,Bug,Poison,,40,60,40,40,40,30,0.5,8.5,,Ariados,,,,,,,
Ariados,168,168 Ariados.jpg,Bug,Poison,,70,90,70,60,70,40,1.1,33.5,Spinarak,,,,,,,,
Chinchou,170,170 Chinchou.jpg,Water,Electric,,75,38,38,56,56,67,0.5,12,,Lanturn,,,,,,,
Lanturn,171,171 Lanturn.jpg,Water,Electric,,125,58,58,76,76,67,1.2,22.5,Chinchou,,,,,,,,
Pichu,172,172 Pichu.jpg,Electric,,,20,40,15,35,35,60,0.3,2,,Pikachu,,,,,,,
Pikachu,25,172-025 Pikachu.jpg,Electric,,,35,55,40,50,50,90,0.4,6,Pichu,Raichu,Raichu Alolan,,,,,,
Raichu,26,172-025-026 Raichu.jpg,Electric,,,60,90,55,90,80,110,0.8,30,Pikachu,,,,,,,,
Raichu Alolan,26,172-025-026 Raichu Alolan.jpg,Electric,Psychic,,60,85,50,95,85,110,0.7,21,Pikachu,,,,,,,,
Cleffa,173,173 Cleffa.jpg,Fairy,,,50,25,28,45,55,15,0.3,3,,Clefairy,,,,,,,
Clefairy,35,173-035 Clefairy.jpg,Fairy,,,70,45,48,60,65,35,0.6,7.5,Cleffa,Clefable,,,,,,,
Clefable,36,173-035-036 Clefable.jpg,Fairy,,,95,70,73,95,90,60,1.3,40,Clefairy,,,,,,,,
Igglybuff,174,174 Igglybuff.jpg,Normal,Fairy,,90,30,15,40,20,15,0.3,1,,Jigglypuff,,,,,,,
Jigglypuff,39,174-039 Jigglypuff.jpg,Normal,Fairy,,115,45,20,45,25,20,0.5,5.5,Igglybuff,Wigglytuff,,,,,,,
Wigglytuff,40,174-039-040 Wigglytuff.jpg,Normal,Fairy,,140,70,45,85,50,45,1,12,Jigglypuff,,,,,,,,
Togepi,175,175 Togepi.jpg,Fairy,,,35,20,65,40,65,20,0.3,1.5,,Togetic,,,,,,,
Togetic,176,176 Togetic.jpg,Fairy,Flying,,55,40,85,80,105,40,0.6,3.2,Togepi,Togekiss,,,,,,,
Togekiss,468,176-468 Togekiss.jpg,Fairy,Flying,,85,50,95,120,115,80,1.5,38,Togetic,,,,,,,,
Natu,177,177 Natu.jpg,Pschic,Flying,,40,50,45,70,45,70,0.2,2,,Xatu,,,,,,,
Xatu,178,178 Xatu.jpg,Pschic,Flying,,65,75,70,95,70,95,1.5,15,Natu,,,,,,,,
Mareep,179,179 Mareep.jpg,Electric,,,55,40,40,65,45,35,0.6,7.8,,Flaaffy,,,,,,,
Flaaffy,180,180 Flaaffy.jpg,Electric,,,70,55,55,80,60,45,0.8,13.3,Mareep,Ampharos,,,,,,,
Ampharos,181,181 Ampharos.jpg,Electric,,,90,75,85,115,90,55,1.4,61.5,Flaaffy,Mega Ampharos,,,,,,,
Mega Ampharos,181,181.5 Mega Ampharos.jpg,Electric,Dragon,,90,95,105,165,110,45,1.4,61.5,Ampharos,,,,,,,,
Hoppip,187,187 Hoppip.jpg,Grass,Flying,,35,35,40,35,55,50,0.4,0.5,,Skiploom,,,,,,,
Skiploom,188,188 Skiploom.jpg,Grass,Flying,,55,45,50,45,65,80,0.6,1,Hoppip,Jumpluff,,,,,,,
Jumpluff,189,189 Jumpluff.jpg,Grass,Flying,,75,55,70,55,95,110,0.8,3,Skiploom,,,,,,,,
Aipom,190,190 Aipom.jpg,Normal,,,55,70,55,40,55,85,0.8,11.5,,Ambipom,,,,,,,
Ambipom,424,190-424 Ambipom.jpg,Normal,,,75,100,66,60,66,115,1.2,20.3,Aipom,,,,,,,,
Sunkern,191,191 Sunkern.jpg,Grass,,,30,30,30,30,30,30,0.3,1.8,,Sunflora,,,,,,,
Sunflora,192,192 Sunflora.jpg,Grass,,,75,75,55,105,85,30,0.8,8.5,Sunkern,,,,,,,,
Yanma,193,193 Yanma.jpg,Bug,Flying,,65,65,45,75,45,95,1.2,38,,Yanmega,,,,,,,
Yanmega,469,193-469 Yanmega.jpg,Bug,Flying,,86,76,86,116,56,95,1.9,51.5,Yanma,,,,,,,,
Wooper,194,194 Wooper.jpg,Water,Ground,,55,45,45,25,25,15,0.4,8.5,,Quagsire,,,,,,,
Quagsire,195,195 Quagsire.jpg,Water,Ground,,95,85,85,65,65,35,1.4,75,Wooper,,,,,,,,
Murkrow,198,198 Murkrow.jpg,Dark,Flying,,60,85,42,85,42,91,0.5,2.1,,Honchkrow,,,,,,,
Honchkrow,430,198-430 Honchkrow.jpg,Dark,Flying,,100,125,52,105,52,71,0.9,27.3,Murkrow,,,,,,,,
Misdreavus,200,200 Misdreavus.jpg,Ghost,,,60,60,60,85,85,85,0.7,1,,Mismagius,,,,,,,
Mismagius,429,200-429 Mismagius.jpg,Ghost,,,60,60,60,105,105,105,0.9,4.4,Misdreavus,,,,,,,,
Unown,201,201 Unown.jpg,Psychic,,,48,72,48,72,48,48,0.5,5,,,,,,,,,
Girafarig,203,203 Girafarig.jpg,Normal,Psychic,,70,80,65,90,65,85,1.5,41.5,,,,,,,,,
Pineco,204,204 Pineco.jpg,Bug,,,50,65,90,35,35,15,0.6,7.2,,Forretress,,,,,,,
Forretress,205,205 Forretress.jpg,Bug,Steel,,75,90,140,60,60,40,1.2,125.8,Pineco,,,,,,,,
Dunsparce,206,206 Dunsparce.jpg,Normal,,,100,70,70,65,65,45,1.5,14,,,,,,,,,
Gligar,207,207 Gligar.jpg,Ground,Flying,,65,75,105,35,65,85,1.1,64.8,,Gliscor,,,,,,,
Gliscor,472,207-472 Gliscor.jpg,Ground,Flying,,75,95,125,45,75,95,2,42.5,Gligar,,,,,,,,
Snubbull,209,209 Snubbull.jpg,Fairy,,,60,80,50,40,40,30,0.6,7.8,,Granbull,,,,,,,
Granbull,210,210 Granbull.jpg,Fairy,,,90,120,75,60,60,45,1.4,48.7,Snubbull,,,,,,,,
Qwilfish,211,211 Qwilfish.jpg,Water,Poison,,65,95,85,55,55,85,0.5,3.9,,,,,,,,,
Shuckle,213,213 Shuckle.jpg,Bug,Rock,,20,10,230,10,230,5,0.6,20.5,,,,,,,,,
Heracross,214,214 Heracross.jpg,Bug,Fighting,,80,125,75,40,95,85,1.5,54,,Mega Heracross,,,,,,,
Mega Heracross,214,214.5 Mega Heracross.jpg,Bug,Fighting,,80,185,115,40,105,75,1.7,62.5,Heracross,,,,,,,,
Sneasel,215,215 Sneasel.jpg,Dark,Ice,,55,95,55,35,75,115,0.9,28,,Weavile,,,,,,,
Weavile,461,215-461 Weavile.jpg,Dark,Ice,,70,120,65,45,85,125,1.1,34,Sneasel,,,,,,,,
Teddiursa,216,216 Teddiursa.jpg,Normal,,,60,80,50,50,50,40,0.6,8.8,,Ursaring,,,,,,,
Ursaring,217,217 Ursaring.jpg,Normal,,,90,130,75,75,75,55,1.8,125.8,Teddiursa,,,,,,,,
Slugma,218,218 Slugma.jpg,Fire,,,40,40,40,70,40,20,0.7,35,,Magcargo,,,,,,,
Magcargo,219,219 Magcargo.jpg,Fire,Rock,,60,50,120,90,80,30,0.8,55,Slugma,,,,,,,,
Swinub,220,220 Swinub.jpg,Ice,Ground,,50,50,40,30,30,50,0.4,6.5,,Piloswine,,,,,,,
Piloswine,221,221 Piloswine.jpg,Ice,Ground,,100,100,80,60,60,50,1.1,55.8,Swinub,Mamoswine,,,,,,,
Mamoswine,473,221-473 Mamoswine.jpg,Ice,Ground,,110,130,80,70,60,80,2.5,291,Piloswine,,,,,,,,
Corsola,222,222 Corsola.jpg,Water,Rock,,65,55,95,65,95,35,0.6,5,,,,,,,,,
Corsola Galarian,222,222 Corsola Galarian.jpg,Ghost,,,60,55,100,65,100,30,0.6,0.5,,Cursola,,,,,,,
Cursola,864,222-864 Cursola.jpg,Ghost,,,60,95,50,145,130,30,1,0.4,Corsola Galarian,,,,,,,,
Remoraid,223,223 Remoraid.jpg,Water,,,35,65,35,65,35,65,0.6,12,,Octillery,,,,,,,
Octillery,224,224 Octillery.jpg,Water,,,75,105,75,105,75,45,0.9,28.5,Remoraid,,,,,,,,
Delibird,225,225 Delibird.jpg,Ice,Flying,,45,55,45,65,45,75,0.9,16,,,,,,,,,
Skarmory,227,227 Skarmory.jpg,Steel,Flying,,65,80,140,40,70,70,1.7,50.5,,,,,,,,,
Houndour,228,228 Houndour.jpg,Dark,Fire,,45,60,30,80,50,65,0.6,10.8,,Houndoom,,,,,,,
Houndoom,229,229 Houndoom.jpg,Dark,Fire,,75,90,50,110,80,95,1.4,35,Houndour,Mega Houndoom,,,,,,,
Mega Houndoom,229,229.5 Mega Houndoom.jpg,Dark,Fire,,75,90,90,140,90,115,1.9,49.5,Houndoom,,,,,,,,
Phanpy,231,231 Phanpy.jpg,Ground,,,90,60,60,40,40,40,0.5,33.5,,Donphan,,,,,,,
Donphan,232,232 Donphan.jpg,Ground,,,90,120,120,60,60,50,1.1,120,Phanpy,,,,,,,,
Stantler,234,234 Stantler.jpg,Normal,,,73,95,62,85,65,85,1.4,71.2,,,,,,,,,
Smeargle,235,235 Smeargle.jpg,Normal,,,55,20,35,20,45,75,1.2,58,,,,,,,,,
Tyrogue,236,236 Tyrogue.jpg,Fighting,,,35,35,35,35,35,35,0.7,21,,Hitmonlee,Hitmonchan,Hitmontop,,,,,
Hitmonlee,106,236-106 Hitmonlee.jpg,Fighting,,,50,120,53,35,110,87,1.5,49.8,Tyrogue,,,,,,,,
Hitmonchan,107,236-107 Hitmonchan.jpg,Fighting,,,50,105,79,35,110,76,1.4,50.2,Tyrogue,,,,,,,,
Hitmontop,237,236-237 Hitmontop.jpg,Fighting,,,50,95,95,35,110,70,1.4,48,Tyrogue,,,,,,,,
Smoochum,238,238 Smoochum.jpg,Ice,Psychic,,45,30,15,85,65,65,0.4,6,,Jynx,,,,,,,
Jynx,124,238-124 Jynx.jpg,Ice,Psychic,,65,50,35,115,95,95,1.4,40.6,Smoochum,,,,,,,,
Elekid,239,239 Elekid.jpg,Electric,,,45,63,37,65,55,95,0.6,23.5,,Electabuzz,,,,,,,
Electabuzz,125,239-125 Electabuzz.jpg,Electric,,,65,83,57,95,85,105,1.1,30,Elekid,Electivire,,,,,,,
Electivire,466,239-125-466 Electivire.jpg,Electric,,,75,123,67,95,85,95,1.8,138.6,Electabuzz,,,,,,,,
Magby,240,240 Magby.jpg,Fire,,,45,75,37,70,55,83,0.7,21.4,,Magmar,,,,,,,
Magmar,126,240-126 Magmar.jpg,Fire,,,65,95,57,100,85,93,1.3,44.5,Magby,Magmortar,,,,,,,
Magmortar,467,240-126-467 Magmortar.jpg,Fire,,,75,95,67,125,95,83,1.6,68,Magmar,,,,,,,,
Miltank,241,241 Miltank.jpg,Normal,,,95,80,105,40,70,100,1.2,75.5,,,,,,,,,
Raikou,243,243 Raikou.jpg,Electric,,,90,85,75,115,100,115,1.9,178,,,,,,,,,
Entei,244,244 Entei.jpg,Fire,,,115,115,85,90,75,100,2.1,198,,,,,,,,,
Suicune,245,245 Suicune.jpg,Water,,,100,75,115,90,115,85,2,187,,,,,,,,,
Larvitar,246,246 Larvitar.jpg,Rock,Ground,,50,64,50,45,50,41,0.6,72,,Pupitar,,,,,,,
Pupitar,247,247 Pupitar.jpg,Rock,Ground,,70,84,70,65,70,51,1.2,152,Larvitar,Tyranitar,,,,,,,
Tyranitar,248,248 Tyranitar.jpg,Rock,Dark,,100,134,110,95,100,61,2,202,Pupitar,Mega Tyranitar,,,,,,,
Mega Tyranitar,248,248.5 Mega Tyranitar.jpg,Rock,Dark,,100,164,150,95,120,71,2.5,255,Tyranitar,,,,,,,,
Lugia,249,249 Lugia.jpg,Psychic,Flying,,106,90,130,90,154,110,5.2,216,,,,,,,,,
Ho-oh,250,250 Ho-oh.jpg,Fire,Flying,,106,130,90,110,154,90,3.8,199,,,,,,,,,
Celebi,251,251 Celebi.jpg,Psychic,Grass,,100,100,100,100,100,100,0.6,5,,,,,,,,,
Treecko,252,252 Treecko.jpg,Grass,,,40,45,35,65,55,70,0.5,5,,Grovyle,,,,,,,
Grovyle,253,253 Grovyle.jpg,Grass,,,50,65,45,85,65,95,0.9,21.6,Treecko,Sceptile,,,,,,,
Sceptile,254,254 Sceptile.jpg,Grass,,,70,85,65,105,85,120,1.7,52.2,Grovyle,Mega Sceptile,,,,,,,
Mega Sceptile,254,254.5 Mega Sceptile.jpg,Grass,,,70,110,75,145,85,145,1.9,55.2,Sceptile,,,,,,,,
Torchic,255,255 Torchic.jpg,Fire,,,45,60,40,70,50,45,0.4,2.5,,Combusken,,,,,,,
Combusken,256,256 Combusken.jpg,Fire,Fighting,,60,85,60,85,60,55,0.9,19.5,Torchic,Blaziken,,,,,,,
Blaziken,257,257 Blaziken.jpg,Fire,Fighting,,80,120,70,110,70,80,1.9,52,Combusken,Mega Blaziken,,,,,,,
Mega Blaziken,257,257.5 Mega Blaziken.jpg,Fire,Fighting,,80,160,80,130,80,100,1.9,52,Blaziken,,,,,,,,
Mudkip,258,258 Mudkip.jpg,Water,,,50,70,50,50,50,40,0.4,7.6,,Marshtomp,,,,,,,
Marshtomp,259,259 Marshtomp.jpg,Water,Ground,,70,85,70,60,70,50,0.7,28,Mudkip,Swampert,,,,,,,
Swampert,260,260 Swampert.jpg,Water,Ground,,100,110,90,85,90,60,1.5,81.9,Marshtomp,Mega Swampert,,,,,,,
Mega Swampert,260,260.5 Mega Swampert.jpg,Water,Ground,,100,150,110,95,110,70,1.9,102,Swampert,,,,,,,,
Poochyena,261,261 Poochyena.jpg,Dark,,,35,55,35,30,30,35,0.5,13.6,,Mightyena,,,,,,,
Mightyena,262,262 Mightyena.jpg,Dark,,,70,90,70,60,60,70,1,37,Poochyena,,,,,,,,
Zigzagoon,263,263 Zigzagoon.jpg,Normal,,,38,30,41,30,41,60,0.4,17.5,,Linoone,,,,,,,
Zigzagoon Galarian,263,263 Zigzagoon Galarian.jpg,Dark,Normal,,38,30,41,30,41,60,0.4,17.5,,Linoone Galarian,,,,,,,
Linoone,264,264 Linoone.jpg,Normal,,,78,70,61,50,61,100,0.5,32.5,Zigzagoon,,,,,,,,
Linoone Galarian,264,264 Linoone Galarian.jpg,Dark,Normal,,78,70,61,50,61,100,0.5,32.5,Zigzagoon Galarian,Obstagoon,,,,,,,
Obstagoon,862,264-862 Obstagoon.jpg,Dark,Normal,,93,90,101,60,81,95,1.6,46,Linoone Galarian,,,,,,,,
Wurmple,265,265 Wurmple.jpg,Bug,,,45,45,35,20,30,20,0.3,3.6,,Silcoon,Cascoon,,,,,,
Silcoon,266,265-266 Silcoon.jpg,Bug,,,50,35,55,25,25,15,0.6,10,Wurmple,Beautifly,,,,,,,
Beautifly,267,265-266-267 Beautifly.jpg,Bug,Flying,,60,70,50,100,50,65,1,28.4,Silcoon,,,,,,,,
Cascoon,268,265-268 Cascoon.jpg,Bug,,,50,35,55,25,25,15,0.7,11.5,Wurmple,Dustox,,,,,,,
Dustox,269,265-268-269 Dustox.jpg,Bug,Poison,,60,50,70,50,90,65,1.2,31.6,Cascoon,,,,,,,,
Lotad,270,270 Lotad.jpg,Water,Grass,,40,30,30,40,50,30,0.5,2.6,,Lombre,,,,,,,
Lombre,271,271 Lombre.jpg,Water,Grass,,60,50,50,60,70,50,1.2,32.5,Lotad,Ludicolo,,,,,,,
Ludicolo,272,272 Ludicolo.jpg,Water,Grass,,80,70,70,90,100,70,1.5,55,Lombre,,,,,,,,
Seedot,273,273 Seedot.jpg,Grass,,,40,40,50,30,30,30,0.5,4,,Nuzleaf,,,,,,,
Nuzleaf,274,274 Nuzleaf.jpg,Grass,Dark,,70,70,40,60,40,60,1,28,Seedot,Shiftry,,,,,,,
Shiftry,275,275 Shiftry.jpg,Grass,Dark,,90,100,60,90,60,80,1.3,59.6,Nuzleaf,,,,,,,,
Taillow,276,276 Taillow.jpg,Normal,Flying,,40,55,30,30,30,85,0.3,2.3,,Swellow,,,,,,,
Swellow,277,277 Swellow.jpg,Normal,Flying,,60,85,60,75,50,125,0.7,19.8,Taillow,,,,,,,,
Wingull,278,278 Wingull.jpg,Water,Flying,,40,30,30,55,30,85,0.6,9.5,,Pelipper,,,,,,,
Pelipper,279,279 Pelipper.jpg,Water,Flying,,60,50,100,95,70,65,1.2,28,Wingull,,,,,,,,
Ralts,280,280 Ralts.jpg,Psychic,Fairy,,28,25,25,45,35,40,0.4,6.6,,Kirlia,,,,,,,
Kirlia,281,281 Kirlia.jpg,Psychic,Fairy,,38,35,35,65,55,50,0.8,20.2,Ralts,Gardevoir,Gallade,,,,,,
Gardevoir,282,281-282 Gardevoir.jpg,Psychic,Fairy,,68,65,65,125,115,80,1.6,48.4,Kirlia,Mega Gardevoir,,,,,,,
Mega Gardevoir,282,281-282-282.5 Mega Gardevoir.jpg,Psychic,Fairy,,68,85,65,165,135,100,1.6,48.4,Gardevoir,,,,,,,,
Gallade,475,281-475 Gallade.jpg,Psychic,Fighting,,68,125,65,65,115,80,1.6,52,Kirlia,Mega Gallade,,,,,,,
Mega Gallade,475,281-475-475.5 Mega Gallade.jpg,Psychic,Fighting,,86,165,95,65,115,110,1.6,56.4,Gallade,,,,,,,,
Surskit,283,283 Surskit.jpg,Bug,Water,,40,30,32,50,52,65,0.5,1.7,,Masquerain,,,,,,,
Masquerain,284,284 Masquerain.jpg,Bug,Flying,,70,60,62,100,82,80,0.8,3.6,Surskit,,,,,,,,
Shroomish,285,285 Shroomish.jpg,Grass,,,60,40,60,40,60,35,0.4,4.5,,Breloom,,,,,,,
Breloom,286,286 Breloom.jpg,Grass,Fighting,,60,130,80,60,60,70,1.2,39.2,Shroomish,,,,,,,,
Slakoth,287,287 Slakoth.jpg,Normal,,,60,60,60,35,35,30,0.8,24,,Vigoroth,,,,,,,
Vigoroth,288,288 Vigoroth.jpg,Normal,,,80,80,80,55,55,90,1.4,46.5,Slakoth,Slaking,,,,,,,
Slaking,289,289 Slaking.jpg,Normal,,,150,160,100,95,65,100,2,130.5,Vigoroth,,,,,,,,
Nincada,290,290 Nincada.jpg,Bug,Ground,,31,45,90,30,30,40,0.5,5.5,,Ninjask,Shedinja,,,,,,
Ninjask,291,291 Ninjask.jpg,Bug,Flying,,61,90,45,50,50,160,0.8,12,Nincada,,,,,,,,
Shedinja,292,292 Shedinja.jpg,Bug,Ghost,,1,90,45,30,30,40,0.8,1.2,Nincada,,,,,,,,
Whismur,293,293 Whismur.jpg,Normal,,,64,51,23,51,23,28,0.6,16.3,,Loudred,,,,,,,
Loudred,294,294 Loudred.jpg,Normal,,,84,71,43,71,43,48,1,40.5,Whismur,Exploud,,,,,,,
Exploud,295,295 Exploud.jpg,Normal,,,104,91,63,91,73,68,1.5,84,Loudred,,,,,,,,
Makuhita,296,296 Makuhita.jpg,Fighting,,,72,60,30,20,30,25,1,68.4,,Hariyama,,,,,,,
Hariyama,297,297 Hariyama.jpg,Fighting,,,144,120,60,40,60,50,2.3,253.8,Makuhita,,,,,,,,
Azurill,298,298 Azurill.jpg,Normal,Fairy,,50,20,40,20,40,20,0.2,2,,Marill,,,,,,,
Marill,183,298-183 Marill.jpg,Water,Fairy,,70,20,50,20,50,40,0.4,8.5,Azurill,Azumarill,,,,,,,
Azumarill,184,298-183-184 Azumarill.jpg,Water,Fairy,,100,50,80,60,80,50,0.8,28.5,Marill,,,,,,,,
Nosepass,299,299 Nosepass.jpg,Rock,,,30,45,135,45,90,30,1,97,,Probopass,,,,,,,
Probopass,476,299-476 Probopass.jpg,Rock,Steel,,60,55,145,75,150,40,1.4,340,Nosepass,,,,,,,,
Skitty,300,300 Skitty.jpg,Normal,,,50,45,45,35,35,50,0.6,11,,Delcatty,,,,,,,
Delcatty,301,301 Delcatty.jpg,Normal,,,70,65,65,55,55,90,1.1,32.6,Skitty,,,,,,,,
Sableye,302,302 Sableye.jpg,Dark,Ghost,,50,75,75,65,65,50,0.5,11,,Mega Sableye,,,,,,,
Mega Sableye,302,302.5 Mega Sableye.jpg,Dark,Ghost,,50,85,125,85,115,20,0.5,161,Sableye,,,,,,,,
Mawile,303,303 Mawile.jpg,Steel,Fairy,,50,85,85,55,55,50,0.6,11.5,,Mega Mawile,,,,,,,
Mega Mawile,303,303.5 Mega Mawile.jpg,Steel,Fairy,,50,105,125,55,95,50,1,23.5,Mega Mawile,,,,,,,,
Aron,304,304 Aron.jpg,Steel,Rock,,50,70,100,40,40,30,0.4,60,,Lairon,,,,,,,
Lairon,305,305 Lairon.jpg,Steel,Rock,,60,90,140,50,50,40,0.9,120,Aron,Aggron,,,,,,,
Aggron,306,306 Aggron.jpg,Steel,Rock,,70,110,180,60,60,50,2.1,360,Lairon,Mega Aggron,,,,,,,
Mega Aggron,306,306.5 Mega Aggron.jpg,Steel,,,70,140,230,60,80,50,2.2,395,Aggron,,,,,,,,
Meditite,307,307 Meditite.jpg,Fighting,Psychic,,30,40,55,40,55,60,0.6,11.2,,Medicham,,,,,,,
Medicham,308,308 Medicham.jpg,Fighting,Psychic,,60,60,75,60,75,80,1.3,31.5,Meditite,Mega Medicham,,,,,,,
Mega Medicham,308,308.5 Meha Medicham.jpg,Fighting,Psychic,,60,100,85,80,85,100,1.3,31.5,Medicham,,,,,,,,
Electrike,309,309 Electrike.jpg,Eletric,,,40,45,40,65,40,65,0.6,15.2,,Manectric,,,,,,,
Manectric,310,310 Manectric.jpg,Eletric,,,70,75,60,105,60,105,1.5,40.2,Electrike,Mega Manectric,,,,,,,
Mega Manectric,310,310.5 Mega Manectric.jpg,Eletric,,,70,75,80,135,80,135,1.8,44,Manectric,,,,,,,,
Plusle,311,311 Plusle.jpg,Eletric,,,60,50,40,85,75,95,0.4,4.2,,,,,,,,,
Minun,312,312 Minun.jpg,Eletric,,,60,40,50,75,85,95,0.4,4.2,,,,,,,,,
Volbeat,313,313 Volbeat.jpg,Bug,,,65,73,75,47,85,85,0.7,17.7,,,,,,,,,
Illumise,314,314 Illumise.jpg,Bug,,,65,47,75,73,85,85,0.6,17.7,,,,,,,,,
Gulpin,316,316 Gulpin.jpg,Poison,,,70,43,53,43,53,40,0.4,10.3,,Swalot,,,,,,,
Swalot,317,317 Swalot.jpg,Poison,,,100,73,83,73,83,55,1.7,80,Gulpin,,,,,,,,
Carvanha,318,318 Carvanha.jpg,Water,Dark,,45,90,20,65,20,65,0.8,20.8,,Sharpedo,,,,,,,
Sharpedo,319,319 Sharpedo.jpg,Water,Dark,,70,120,40,95,40,95,1.8,88.8,Carvanha,Mega Sharpedo,,,,,,,
Mega Sharpedo,319,319.5 Mega Sharpedo.jpg,Water,Dark,,70,140,70,110,65,105,2.5,130.3,Sharpedo,,,,,,,,
Wailmer,320,320 Wailmer.jpg,Water,,,130,70,35,70,35,60,2,130,,Wailord,,,,,,,
Wailord,321,321 Wailord.jpg,Water,,,170,90,45,90,45,60,14.5,398,Wailmer,,,,,,,,
Numel,322,322 Numel.jpg,Fire,Ground,,60,60,40,65,45,35,0.7,24,,Camerupt,,,,,,,
Camerupt,323,323 Camerupt.jpg,Fire,Ground,,70,100,70,105,75,40,1.9,220,Numel,Mega Camerupt,,,,,,,
Mega Camerupt,323,323.5 Mega Camerupt.jpg,Fire,Ground,,70,120,100,145,105,20,2.5,320.5,Camerupt,,,,,,,,
Torkoal,324,324 Torkoal.jpg,Fire,,,70,85,140,85,70,20,0.5,80.4,,,,,,,,,
Spoink,325,325 Spoink.jpg,Psychic,,,60,25,35,70,80,60,0.7,30.6,,,,,,,,,
Grumpig,326,326 Grumpig.jpg,Psychic,,,80,45,65,90,110,80,0.9,71.5,,,,,,,,,
Spinda,327,327 Spinda.jpg,Normal,,,60,60,60,60,60,60,1.1,5,,,,,,,,,
Trapinch,328,328 Trapinch.jpg,Ground,,,45,100,45,45,45,10,0.7,15,,Vibrava,,,,,,,
Vibrava,329,329 Vibrava.jpg,Ground,Dragon,,50,70,50,50,50,70,1.1,15.3,Trapinch,Flygon,,,,,,,
Flygon,330,330 Flygon.jpg,Ground,Dragon,,80,100,80,80,80,100,2,82,Vibrava,,,,,,,,
Cacnea,331,331 Cacnea.jpg,Grass,,,50,85,40,85,40,35,0.4,51.3,,Cacturne,,,,,,,
Cacturne,332,332 Cacturne.jpg,Grass,Dark,,70,115,60,115,60,55,1.3,77.4,Cacnea,,,,,,,,
Swablu,333,333 Swablu.jpg,Normal,Flying,,45,40,60,40,75,50,0.4,1.2,,Altaria,,,,,,,
Altaria,334,334 Altaria.jpg,Dragon,Flying,,75,70,90,70,105,80,1.1,20.6,Swablu,Mega Altaria,,,,,,,
Mega Altaria,334,334.5 Mega Altaria.jpg,Dragon,Fairy,,75,110,110,110,105,80,1.5,20.6,Altaria,,,,,,,,
Zangoose,335,335 Zangoose.jpg,Normal,,,73,115,60,60,60,90,1.3,40.3,,,,,,,,,
Seviper,336,336 Seviper.jpg,Poison,,,73,100,60,100,60,65,2.7,52.5,,,,,,,,,
Lunatone,337,337 Lunatone.jpg,Rock,Psychic,,90,55,65,95,85,70,1,168,,,,,,,,,
Solrock,338,338 Solrock.jpg,Rock,Psychic,,90,95,85,55,65,70,1.2,154,,,,,,,,,
Barboach,339,339 Barboach.jpg,Water,Ground,,50,48,43,46,41,60,0.4,1.9,,Whiscash,,,,,,,
Whiscash,340,340 Whiscash.jpg,Water,Ground,,110,78,73,76,71,60,0.9,23.6,Barboach,,,,,,,,
Corphish,341,341 Corphish.jpg,Water,,,43,80,65,50,35,35,0.6,11.5,,Crawdaunt,,,,,,,
Crawdaunt,342,342 Crawdaunt.jpg,Water,Dark,,63,120,85,90,55,55,1.1,32.8,Corphish,,,,,,,,
Baltoy,343,343 Baltoy.jpg,Ground,Psychic,,40,40,55,40,70,55,0.5,21.5,,Claydol,,,,,,,
Claydol,344,344 Claydol.jpg,Ground,Psychic,,60,70,105,70,120,75,1.5,108,Baltoy,,,,,,,,
Lileep,345,345 Lileep.jpg,Rock,Grass,,66,41,77,61,87,23,1,23.8,,Cradily,,,,,,,
Cradily,346,346 Cradily.jpg,Rock,Grass,,86,81,97,81,107,43,1.5,60.4,Lileep,,,,,,,,
Anorith,347,347 Anorith.jpg,Rock,Bug,,45,95,50,0,50,75,0.7,12.5,,Armaldo,,,,,,,
Armaldo,348,348 Armaldo.jpg,Rock,Bug,,75,125,100,70,80,45,1.5,68.2,Anorith,,,,,,,,
Feebas,349,349 Feebas.jpg,Water,,,20,15,20,10,55,80,0.6,7.4,,Milotic,,,,,,,
Milotic,350,350 Milotic.jpg,Water,,,95,60,79,100,125,81,6.2,162,Feebas,,,,,,,,
Castform,351,351 Castform.jpg,Normal,,,70,70,70,70,70,70,0.3,0.8,,,,,,,,,
Castform Rainy,351,351 Castform Rainy.jpg,Water,,,70,70,70,70,70,70,0.3,0.8,,,,,,,,,
Castform Snowy,351,351 Castform Snowy.jpg,Ice,,,70,70,70,70,70,70,0.3,0.8,,,,,,,,,
Castform Sunny,351,351 Castform Sunny.jpg,Fire,,,70,70,70,70,70,70,0.3,0.8,,,,,,,,,
Kecleon,352,352 Kecleon.jpg,Normal,,,60,90,70,60,120,40,1,22,,,,,,,,,
Shuppet,353,353 Shuppet.jpg,Ghost,,,44,75,35,63,33,45,0.6,2.3,,Banette,,,,,,,
Banette,354,354 Banette.jpg,Ghost,,,64,115,65,83,63,65,1.1,12.5,Shuppet,Mega Banette,,,,,,,
Mega Banette,354,354.5 Mega Banette.jpg,Ghost,,,64,165,75,93,83,75,1.2,13,Banette,,,,,,,,
Duskull,355,355 Duskull.jpg,Ghost,,,20,40,90,30,90,25,0.8,15,,Dusclops,,,,,,,
