name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Golem Alolan,76,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F076%20Golem%20Alolan.jpg?alt=media&token=8256a086-0dfd-4e96-85bd-b1ec13e176b1,Rock,Electric,,80,120,130,55,65,45,1.7,316,Graveler Alolan,,,,,,,,
Ponyta,77,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F077%20Ponyta.jpg?alt=media&token=ea444f02-c246-4b98-a82e-f888326ff5c7,Fire,,,50,85,55,65,65,90,1,30,,Rapidash,,,,,,,
Ponyta Galarian,77,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F077%20Ponyta%20Galarian.jpg?alt=media&token=20431b78-ef33-4813-943d-2eecf9153e8d,Psychic,,,50,85,55,65,65,90,0.8,24,Ponyta,,,,,,,,
Rapidash,78,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F078%20Rapidash.jpg?alt=media&token=a60785f8-65c2-4ac4-9270-a1edd1e9111c,Fire,,,65,100,70,80,80,105,1.7,95,,Rapidash Galarian,,,,,,,
Rapidash Galarian,78,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F078%20Rapidash%20Galarian.jpg?alt=media&token=553cb802-f9cc-42f1-98a6-cc0f9e2732f0,Psychic,Fairy,,65,100,70,80,80,105,1.7,80,Ponyta Galarian,,,,,,,,
Slowpoke,79,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079%20Slowpoke.jpg?alt=media&token=9b29a54a-3e0a-435e-aa2b-dc14e9e20fa0,Water,Psychic,,90,65,65,40,40,15,1.2,36,,Slowbro,,,,,,,
Slowpoke Galarian,79,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079%20Slowpoke%20Galarian.jpg?alt=media&token=190ad98d-736f-4b72-87d8-4a85d0fb1298,Psychic,,,90,65,65,40,40,15,1.2,36,,Slowbro Galarian,,,,,,,
Slowbro,80,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079-080%20Slowbro.jpg?alt=media&token=e4951b90-8cb2-4086-8145-f22a4c26b888,Water,Psychic,,95,75,110,100,80,30,1.6,78.5,Slowpoke,Mega Slowbro,,,,,,,
Mega Slowbro,80,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079-080-080.5%20Mega%20Slowbro.jpg?alt=media&token=cf3099e0-5dcd-4216-9909-870b2614ae75,Water,Psychic,,95,75,180,130,80,30,2,120,Slowbro,,,,,,,,
Slowbro Galarian,80,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079-080%20Slowbro%20Galarian.jpg?alt=media&token=27bc2ea0-da1c-4b3d-b674-b960e003e1cb,Poison,Psychic,,95,100,95,100,70,30,1.6,70.5,Slowpoke Galarian,,,,,,,,
Slowking,199,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079-199%20Slowking.jpg?alt=media&token=1a4a5b45-dc8e-4ca3-a6f4-df506c0d3700,Water,Psychic,,95,75,80,100,110,30,2,79.5,Slowpoke,,,,,,,,
Slowking Galarian,199,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F079-199%20Slowking%20Galarian.jpg?alt=media&token=6ca7909e-47f4-4a22-aca1-5a8b03f64209,Poison,Psychic,,95,65,80,110,110,30,1.8,79.5,Slowpoke Galarian,,,,,,,,
Magnemite,81,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F081%20Magnemite.jpg?alt=media&token=0b51d0dd-39a4-4a08-8a12-accfc1e17741,Electric,Steel,,25,35,70,95,55,45,0.3,6,,Magneton,,,,,,,
Magneton,82,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F082%20Magneton.jpg?alt=media&token=1bf907fe-53d2-421a-8f25-77f8fe3b969c,Electric,Steel,,50,60,95,120,70,70,1,60,Magnemite,Magnezone,,,,,,,
Magnezone,462,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F082-462%20Magnezone.jpg?alt=media&token=6352bf91-c49a-40af-a5a8-9709aed91fdb,Electric,Steel,,70,70,115,130,90,60,1.2,180,Magneton,,,,,,,,
Farfetch'd,83,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F083%20Farfetch'd.jpg?alt=media&token=37cad3c7-b9bc-4b57-9d22-1b70c6833dea,Normal,Flying,,52,90,55,58,62,60,0.8,15,,,,,,,,,
Farfetch'd Galarian,83,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F083%20Farfetch'd%20Galarian.jpg?alt=media&token=879ca2f0-c63f-446f-9d31-b1f7035bbe76,Fighting,,,52,90,55,58,62,55,0.8,42,,Sirfetchd,,,,,,,
Sirfetchd,865,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F083-865%20Sirfetchd.jpg?alt=media&token=4ef8a8c1-245b-487a-af9a-faae7b7450c8,Fighting,,,62,135,95,68,82,65,0.8,117,Farfetch'd Galarian,,,,,,,,
Doduo,84,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F084%20Doduo.jpg?alt=media&token=96319d3b-5247-43cc-8d62-65ed1c6912c8,Normal,Flying,,35,85,45,35,35,75,1.4,39.2,,Dodrio,,,,,,,
Dodrio,85,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F085%20Dodrio.jpg?alt=media&token=a570c76d-3596-4655-90ea-1165c85e7b86,Normal,Flying,,60,110,70,60,60,110,1.8,85.2,Doduo,,,,,,,,
Seel,86,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F086%20Seel.jpg?alt=media&token=7d02c951-b5bc-439c-b011-c515807c083b,Water,,,65,45,55,45,70,45,1.1,90,,Dewgong,,,,,,,
Dewgong,87,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F087%20Dewgong.jpg?alt=media&token=e62dd6c0-698b-4a1c-acd3-c023fe81ceb5,Water,Ice,,90,70,80,70,95,70,1.7,120,Seel,,,,,,,,
Grimer,88,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F088%20Grimer.jpg?alt=media&token=7f4ef12e-4284-4e84-b7f1-e2a4d17182cb,Poison,,,80,80,50,40,50,25,0.9,30,,Muk,,,,,,,
Grimer Alolan,88,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F088%20Grimer%20Alolan.jpg?alt=media&token=a402ef3a-6b09-4e53-a005-8eccd4d3ec9b,Poison,Dark,,80,80,50,40,50,25,0.7,42,,Muk Alolan,,,,,,,
Muk,89,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F089%20Muk.jpg?alt=media&token=9f3b1567-1698-422d-b863-32619fcdcf7d,Poison,,,105,105,75,65,100,50,1.2,30,Grimer,,,,,,,,
Muk Alolan,89,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F089%20Muk%20Alolan.jpg?alt=media&token=dbca5017-e748-486b-95e6-ed1fe0bd6885,Poison,Dark,,105,105,75,65,100,50,1,52,Grimer Alolan,,,,,,,,
Shellder,90,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F090%20Shellder.jpg?alt=media&token=06ff7ee9-df02-4b82-909e-00876cb05d8e,Water,,,30,65,100,45,25,40,0.3,4,,Cloyster,,,,,,,
Cloyster,91,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F091%20Cloyster.jpg?alt=media&token=f55298a2-03a1-4dee-8856-3783517c4671,Water,Ice,,50,95,180,85,45,70,1.5,132.5,Shellder,,,,,,,,
Gastly,92,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F092%20Gastly.jpg?alt=media&token=706302e7-5753-4dbf-abcc-d42aef75d558,Ghost,Poison,,30,35,30,100,35,80,1.3,0.1,,Haunter,,,,,,,
Haunter,93,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F093%20Haunter.jpg?alt=media&token=3d35944f-0e4b-4c85-8e1d-f42dd161c827,Ghost,Poison,,45,50,45,115,55,95,1.6,0.1,Gastly,Gengar,,,,,,,
Gengar,94,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F094%20Gengar.jpg?alt=media&token=fcfbb582-0061-413e-971d-5d3f83b7b7b5,Ghost,Poison,,60,65,60,130,75,110,1.5,40.5,Haunter,Mega Gengar,,,,,,,
Mega Gengar,94,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F094.5%20Mega%20Gengar.jpg?alt=media&token=aa9cbcad-6c60-451c-820e-195020bf6456,Ghost,Poison,,60,65,80,170,95,130,1.4,40.5,Gengar,,,,,,,,
Onix,95,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F095%20Onix.jpg?alt=media&token=3021a1b7-bde3-4dbb-8cf6-cd5a8500695c,Rock,Ground,,35,45,160,30,45,70,8.8,210,,Steelix,,,,,,,
Steelix,208,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F095-208%20Steelix.jpg?alt=media&token=8b150de4-4577-401f-869e-ba0163850b41,Steel,Ground,,75,85,200,55,65,30,9.2,400,Onix,Mega Steelix,,,,,,,
Mega Steelix,208,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F095-208-208.5%20Mega%20Steelix.jpg?alt=media&token=c08a3e4f-f772-4027-ba0a-904791b106f4,Steel,Ground,,75,125,230,55,95,30,10.5,740,Steelix,,,,,,,,
Drowzee,96,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F096%20Drowzee.jpg?alt=media&token=e8bbac9b-0c0a-455f-b4fd-d8a7abb850ae,Psychic,,,60,48,45,43,90,42,1,32.4,,Hypno,,,,,,,
Hypno,97,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F097%20Hypno.jpg?alt=media&token=ccb62261-d6df-4b1e-9ce7-d7aefd916bca,Psychic,,,85,73,70,73,115,67,1.6,75.6,Drowzee,,,,,,,,
Krabby,98,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F098%20Krabby.jpg?alt=media&token=6b2b226c-1d06-42c1-86cb-2bc53eaa0e46,Water,,,30,105,90,25,25,50,0.4,6.5,,Kingler,,,,,,,
Kingler,99,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F099%20Kingler.jpg?alt=media&token=50d1e7d0-86ff-475d-bf7d-12f1a69e10aa,Water,,,55,130,115,50,50,75,1.3,60,Krabby,,,,,,,,
Voltorb,100,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F100%20Voltorb.jpg?alt=media&token=23eaa6d3-df7b-41cf-9efc-e29ada589765,Electric,,,40,30,50,55,55,100,0.5,10.4,,Electrode,,,,,,,
Electrode,101,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F101%20Electrode.jpg?alt=media&token=09f3a064-56f6-44f4-abd0-1b4867451caa,Electric,,,60,50,70,80,80,150,1.2,66.6,Voltorb,,,,,,,,
Exeggcute,102,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F102%20Exeggcute.jpg?alt=media&token=73180f44-a032-498e-8135-a2f0eb10bdbe,Grass,Psychic,,60,40,80,60,45,40,0.4,2.5,,Exeggutor,Exeggutor Alolan,,,,,,
Exeggutor,103,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F103%20Exeggutor.jpg?alt=media&token=8360eba7-f102-4bf6-b939-d4b6ca09a925,Grass,Psychic,,95,95,85,125,75,55,2,120,Exeggcute,,,,,,,,
Exeggutor Alolan,103,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F103%20Exeggutor%20Alolan.jpg?alt=media&token=eb6c5389-d7fb-4a7f-8f16-0db30ef368d7,Grass,Dragon,,95,105,85,125,75,45,10.9,415.6,Exeggcute,,,,,,,,
Cubone,104,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F104%20Cubone.jpg?alt=media&token=f5f39437-a120-4769-bbc9-392e6f53e2a7,Ground,,,50,50,90,40,50,35,0.4,6.5,,Marowak,Marowak Alolan,,,,,,
Marowak,105,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F105%20Marowak.jpg?alt=media&token=aee9f065-70dd-4d4a-b34e-8f2a6029ad46,Ground,,,60,80,110,50,80,45,1,45,Cubone,,,,,,,,
Marowak Alolan,105,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F105%20Marowak%20Alolan.jpg?alt=media&token=0e1735fb-b332-4eda-a6eb-43cff9b680cd,Fire,Ghost,,60,80,110,50,80,45,1,34,Cubone,,,,,,,,
Lickitung,108,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F108%20Lickitung.jpg?alt=media&token=579366fc-fe8f-4f05-a096-6c648066eb9a,Normal,,,90,55,75,60,75,30,1.2,65.5,,Lickilicky,,,,,,,
Lickilicky,463,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F108-463%20Lickilicky.jpg?alt=media&token=553bff3c-b37a-4e6d-b8a6-b0a1313907b5,Normal,,,110,85,95,80,95,50,1.7,140,Lickitung,,,,,,,,
Koffing,109,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F109%20Koffing.jpg?alt=media&token=415de1f8-d718-4cd0-ae87-cd87517ceb2c,Poison,,,40,65,95,60,45,35,0.6,1,,Weezing,Weezing Galarian,,,,,,
Weezing,110,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F110%20Weezing.jpg?alt=media&token=486a77af-58c1-42f2-ad38-1f7dc9eb723f,Poison,,,65,90,120,85,70,60,1.2,9.5,Koffing,,,,,,,,
Weezing Galarian,110,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F110%20Weezing%20Galarian.jpg?alt=media&token=dc25cef2-1e6a-421a-8e62-d99404b7f8c5,Poison,Fairy,,65,90,120,85,70,60,3,16,Koffing,,,,,,,,
Rhyhorn,111,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F111%20Rhyhorn.jpg?alt=media&token=c22b877b-87a6-4a06-acbc-8e38624fd60a,Ground,Rock,,80,85,95,30,30,25,1,115,,Rhydon,,,,,,,
Rhydon,112,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F112%20Rhydon.jpg?alt=media&token=17e4f4d4-2805-40d2-baae-181f8ec80191,Ground,Rock,,105,130,120,45,45,40,1.9,120,Rhyhorn,Rhyperior,,,,,,,
Rhyperior,464,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F112-464%20Rhyperior.jpg?alt=media&token=27b4ace3-8c0a-466d-9152-c05afe40ac89,Ground,Rock,,115,140,130,55,55,40,2.4,282.8,Rhydon,,,,,,,,
Tangela,114,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F114%20Tangela.jpg?alt=media&token=3d4c3fa9-229b-4268-be61-ca39bb977dd6,Grass,,,65,55,115,100,40,60,1,35,,Tangrowth,,,,,,,
Tangrowth,465,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F114-465%20Tangrowth.jpg?alt=media&token=ad1f3253-d949-4e18-bb18-bd63be9c1e63,Grass,,,100,100,125,110,50,50,2,128.6,Tangela,,,,,,,,
Kangaskhan,115,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F115%20Kangaskhan.jpg?alt=media&token=3cae1b4a-4a8a-4089-bfc6-c244b5cf85e8,Normal,,,105,95,80,40,80,90,2.2,80,,Mega Kangaskhan,,,,,,,
Mega Kangaskhan,115,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F115.5%20Mega%20Kangaskhan.jpg?alt=media&token=54c08af4-a40c-48cb-8310-9e55a1564ac3,Normal,,,105,125,100,60,100,100,2.2,100,Kangaskhan,,,,,,,,
Horsea,116,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F116%20Horsea.jpg?alt=media&token=4905d728-cf39-42a5-83de-8a6f2239742f,Water,,,30,40,70,70,25,60,0.4,8,,Seadra,,,,,,,
Seadra,117,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F117%20Seadra.jpg?alt=media&token=934c51e8-130a-4045-977c-84c032517c24,Water,,,55,65,95,95,45,85,1.2,25,Horsea,Kingdra,,,,,,,
Kingdra,230,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F117-230%20Kingdra.jpg?alt=media&token=71cdef5e-23a0-4124-a940-cb5c9c8586f8,Water,Dragon,,75,95,95,95,95,85,1.8,152,Seadra,,,,,,,,
Goldeen,118,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F118%20Goldeen.jpg?alt=media&token=8258417a-4e11-4eac-975a-09ec296f9ae9,Water,,,45,67,6,35,50,63,0.6,15,,Seaking,,,,,,,
Seaking,119,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F119%20Seaking.jpg?alt=media&token=7e4841c2-2c9a-4b38-8ea2-b35e49286608,Water,,,80,92,5,65,80,68,1.3,39,Goldeen,,,,,,,,
Staryu,120,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F120%20Staryu.jpg?alt=media&token=2e12c3e1-cf40-433d-a133-075d72b7e7c7,Water,,,30,45,55,70,55,85,0.8,34.5,,Starmie,,,,,,,
Starmie,121,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F121%20Starmie.jpg?alt=media&token=27e8fac5-c0f8-4cbe-8479-26a4a5f47b9d,Water,Psychic,,60,75,85,100,85,115,1.1,80,Staryu,,,,,,,,
Scyther,123,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F123%20Scyther.jpg?alt=media&token=9010de31-5784-4f76-9e20-4e0cb6804de6,Bug,Flying,,70,110,80,55,80,105,1.5,56,,Scizor,,,,,,,
Scizor,212,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F123-212%20Scizor.jpg?alt=media&token=08c25cdf-0299-49c8-b2a9-7eebdfbe2e93,Bug,Steel,,70,130,100,55,80,65,1.8,118,Scyther,Mega Scizor,,,,,,,
Mega Scizor,212,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F123-212-212.5%20Mega%20Scizor.jpg?alt=media&token=19de0c7a-1777-4e53-a331-21df81a0540c,Bug,Steel,,70,150,140,65,100,75,2,125,Scizor,,,,,,,,
Pinsir,127,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F127%20Pinsir.jpg?alt=media&token=69264b3a-cacd-4c47-b7e0-84be15235207,Bug,,,65,125,100,55,70,85,1.5,55,,Mega Pinsir,,,,,,,
Mega Pinsir,127,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F127.5%20Mega%20Pinsir.jpg?alt=media&token=00b716ad-2870-4fbd-a31c-f99782124c29,Bug,Flying,,65,155,120,65,90,105,1.7,59,Pinsir,,,,,,,,
Tauros,128,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F128%20Tauros.jpg?alt=media&token=17bd10d2-e6a9-461c-9562-6d7f28bf2007,Normal,,,75,100,95,40,70,110,1.4,88.4,,,,,,,,,
Magikarp,129,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F129%20Magikarp.jpg?alt=media&token=76e9c58c-6d52-4d2e-b83e-a9292cd2d71f,Water,,,20,10,55,15,20,80,0.9,10,,Gyarados,,,,,,,
Gyarados,130,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F130%20Gyarados.jpg?alt=media&token=d7860c7f-9345-4bdd-b2d7-b983f03ea295,Water,Flying,,95,125,79,60,100,81,6.5,235,Magikarp,Mega Gyarados,,,,,,,
Mega Gyarados,130,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F130.5%20Mega%20Gyarados.jpg?alt=media&token=58600aa9-5026-416d-95e9-a6f7830f512a,Water,Dark,,95,155,109,70,130,81,6.5,305,Gyarados,,,,,,,,
Lapras,131,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F131%20Lapras.jpg?alt=media&token=87a69437-9f6e-44b9-82bc-b3f0ac9aa86e,Water,Ice,,130,85,80,85,95,60,2.5,220,,,,,,,,,
Ditto,132,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F132%20Ditto.jpg?alt=media&token=91b0c43b-2e5c-40cd-baf3-46b4e4e71001,Normal,,,48,48,48,48,48,48,0.3,4,,,,,,,,,
Eevee,133,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133%20Eevee.jpg?alt=media&token=e764638a-3f52-4b84-ade3-5360947c6a45,Normal,,,55,55,50,45,65,55,0.3,6.5,,Vaporeon,Jolteon,Flareon,Espeon,Umbreon,Leafeon,Glaceon,Sylveon
Vaporeon,134,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-134%20Vaporeon.jpg?alt=media&token=74406d8a-7ade-4406-94f7-5018ec31f087,Water,,,130,65,60,110,95,65,1,29,Eevee,,,,,,,,
Jolteon,135,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-135%20Jolteon.jpg?alt=media&token=3d27ff44-78f3-4e8c-8d2d-50bdbfb59a28,Electric,,,65,65,60,110,95,130,0.8,24.5,Eevee,,,,,,,,
Flareon,136,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-136%20Flareon.jpg?alt=media&token=8efe0ac4-13c0-44a8-a85b-c451b5af946c,Fire,,,65,130,60,95,110,65,0.9,25,Eevee,,,,,,,,
Espeon,196,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-196%20Espeon.jpg?alt=media&token=349e18ec-d238-4c56-b115-6565e8672bb7,Psychic,,,65,65,60,130,95,110,0.9,26.5,Eevee,,,,,,,,
Umbreon,197,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-197%20Umbreon.jpg?alt=media&token=5ed54a29-9618-4c36-bbb1-de95cf1e662c,Dark,,,95,65,110,60,130,65,1,27,Eevee,,,,,,,,
Leafeon,470,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-470%20Leafeon.jpg?alt=media&token=b49152f2-900a-4c67-b882-41086c18e869,Grass,,,65,110,130,60,65,95,1,25,Eevee,,,,,,,,
Glaceon,471,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-471%20Glaceon.jpg?alt=media&token=0a596d42-d243-4d59-b1f7-d4dce4958dfd,Ice,,,65,60,110,130,95,65,0.8,25.9,Eevee,,,,,,,,
Sylveon,700,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F133-700%20Sylveon.jpg?alt=media&token=2770a843-060a-4429-b0bb-eb038382748c,Fairy,,,95,65,65,110,130,60,1,23.5,Eevee,,,,,,,,
Porygon,137,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F137%20Porygon.jpg?alt=media&token=bf5e58c2-5eba-498a-9ccb-ef0d251f3a35,Normal,,,65,60,70,85,75,40,0.8,36.5,,Porygon2,,,,,,,
Porygon2,233,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F137-233%20Porygon2.jpg?alt=media&token=d9bb0d15-d6e2-4ccc-b71a-1e99e0591657,Normal,,,85,80,90,105,95,60,0.6,32.5,Porygon,Porygon-Z,,,,,,,
Porygon-Z,474,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F137-233-474%20Porygon-Z.jpg?alt=media&token=558e4d36-f1a4-4cb5-94a1-ca14a3146e73,Normal,,,85,80,70,135,75,90,0.9,34,Porygon2,,,,,,,,
Omanyte,138,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F138%20Omanyte.jpg?alt=media&token=fadc3767-0116-4be0-84c7-906bfbd84548,Rock,Water,,35,40,100,90,55,35,0.4,7.5,,Omastar,,,,,,,
Omastar,139,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F139%20Omastar.jpg?alt=media&token=d677981c-14ec-4ceb-8ddd-eaa94289ce70,Rock,Water,,70,60,125,115,70,55,1,35,Omanyte,,,,,,,,
Kabuto,140,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F140%20Kabuto.jpg?alt=media&token=cd629d52-3e36-46cd-8aba-4fd7860d4217,Rock,Water,,30,80,90,55,45,55,0.5,11.5,,Kabutops,,,,,,,
Kabutops,141,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F141%20Kabutops.jpg?alt=media&token=723e8c6c-5a54-485a-99dd-d0bfaaae9913,Rock,Water,,60,115,105,65,70,80,1.3,40.5,Kabuto,,,,,,,,
Aerodactyl,142,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F142%20Aerodactyl.jpg?alt=media&token=96493f2d-5215-4e7b-b8cc-4b2eb1ddd80e,Rock,Flying,,80,105,65,60,75,130,1.8,59,,Mega Aerodactyl,,,,,,,
Mega Aerodactyl,142,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F142.5%20Mega%20Aerodactyl.jpg?alt=media&token=94bf4250-a35c-4196-bf66-634f9ea05b21,Rock,Flying,,80,135,85,70,95,150,2.1,79,Aerodactyl,,,,,,,,
Articuno,144,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F144%20Articuno.jpg?alt=media&token=f0564041-9f7f-4e80-8ac8-60c8f7584706,Ice,Flying,,90,85,100,95,125,85,1.7,55.4,,,,,,,,,
Articuno Galarian,144,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F144%20Articuno%20Galarian.jpg?alt=media&token=b23bc75a-43f1-4106-af9b-9cfe4a948b96,Psychic,Flying,,90,85,85,125,100,95,1.7,50.9,,,,,,,,,
